trade_date,scope,level1_industry_name,turn_daily_std
2013-01-21,行业,交通运输,2.206995321077245
2013-01-21,行业,传媒,2.900705533226756
2013-01-21,行业,农林牧渔,3.4629402831284697
2013-01-21,行业,医药,3.1673758709944293
2013-01-21,行业,商贸零售,3.102965215677338
2013-01-21,行业,国防军工,4.101964493302108
2013-01-21,行业,基础化工,4.757979698909958
2013-01-21,行业,家电,3.4780991116934574
2013-01-21,行业,建材,2.540493643265036
2013-01-21,行业,建筑,4.045288226938587
2013-01-21,行业,房地产,3.1786375772875632
2013-01-21,行业,有色金属,3.860981500745179
2013-01-21,行业,机械,4.205829059506711
2013-01-21,行业,汽车,3.4712847559830715
2013-01-21,行业,消费者服务,3.270073992349259
2013-01-21,行业,煤炭,2.7578721825260883
2013-01-21,行业,电力及公用事业,3.5204905048618187
2013-01-21,行业,电力设备及新能源,2.681811149165556
2013-01-21,行业,电子,3.040906293838637
2013-01-21,行业,石油石化,3.2680141520193224
2013-01-21,行业,纺织服装,3.7591542968392364
2013-01-21,行业,综合,1.801699198414282
2013-01-21,行业,综合金融,8.455202843384527
2013-01-21,行业,计算机,4.213415828454173
2013-01-21,行业,轻工制造,3.8102755606096768
2013-01-21,行业,通信,2.3744734451331126
2013-01-21,行业,钢铁,1.133793989568972
2013-01-21,行业,银行,0.6302033596387756
2013-01-21,行业,非银行金融,2.2590600954076416
2013-01-21,行业,食品饮料,2.245421731414537
2013-01-22,全A,全A,3.856931041027419
2013-01-22,行业,交通运输,3.0489732468599575
2013-01-22,行业,传媒,4.50164743801192
2013-01-22,行业,农林牧渔,4.778200467108822
2013-01-22,行业,医药,2.9619243028960276
2013-01-22,行业,商贸零售,4.129455402860957
2013-01-22,行业,国防军工,4.740439952506131
2013-01-22,行业,基础化工,4.44731928480933
2013-01-22,行业,家电,3.3248085626314547
2013-01-22,行业,建材,2.9447108239170534
2013-01-22,行业,建筑,4.144360533758955
2013-01-22,行业,房地产,2.843761749175772
2013-01-22,行业,有色金属,3.518046065023581
2013-01-22,行业,机械,4.304545657129199
2013-01-22,行业,汽车,2.5597760600297437
2013-01-22,行业,消费者服务,3.416019647000749
2013-01-22,行业,煤炭,1.7165510274904427
2013-01-22,行业,电力及公用事业,4.614607869481437
2013-01-22,行业,电力设备及新能源,3.082930431830828
2013-01-22,行业,电子,5.311237743388188
2013-01-22,行业,石油石化,3.12355339320255
2013-01-22,行业,纺织服装,3.3358037008639996
2013-01-22,行业,综合,1.7977711563025291
2013-01-22,行业,综合金融,6.159466992159306
2013-01-22,行业,计算机,3.3969380949028904
2013-01-22,行业,轻工制造,5.9307917736763285
2013-01-22,行业,通信,3.4862257065907216
2013-01-22,行业,钢铁,1.4041062545772842
2013-01-22,行业,银行,1.0825816346239208
2013-01-22,行业,非银行金融,2.723074725222637
2013-01-22,行业,食品饮料,2.5912138062817944
2013-01-23,全A,全A,3.3597355559683124
2013-01-23,行业,交通运输,2.8414243116919504
2013-01-23,行业,传媒,5.127197910767046
2013-01-23,行业,农林牧渔,5.2124120588514415
2013-01-23,行业,医药,3.252406256427511
2013-01-23,行业,商贸零售,2.5607453757838257
2013-01-23,行业,国防军工,4.073780848892638
2013-01-23,行业,基础化工,3.7132360090178635
2013-01-23,行业,家电,2.763872460339955
2013-01-23,行业,建材,3.2749715229806107
2013-01-23,行业,建筑,3.6277405830153073
2013-01-23,行业,房地产,2.836982286997336
2013-01-23,行业,有色金属,2.4721806295590674
2013-01-23,行业,机械,3.1472927225499565
2013-01-23,行业,汽车,2.040154633935807
